,x,y,alpha,beta
0,0.9335598090784938,0.92138671875,0.0,0.0
1,0.7334920354245006,0.7333984375,0.0,0.0
2,0.10570156510247353,0.39453125,0.0,0.0
3,0.460079353274236,0.11328125,0.0,0.0
4,0.7416804637825044,0.6962890625,0.0,0.0
5,0.06598068336829999,0.1220703125,0.0,0.0
6,0.7484016970009144,0.5791015625,0.0,0.0
7,0.08713403935301811,0.3076171875,0.0,0.0
8,0.031531035642378025,0.326171875,0.0,0.0
9,0.84290429490647,0.75390625,0.0,0.0
10,0.2844397646535807,0.068359375,0.0,0.0
11,0.7698007654637155,0.884765625,0.0,0.0
12,0.39094310724529624,0.21484375,0.0,0.0
13,0.558342510179192,0.572265625,0.0,0.0
14,0.7792360665540601,0.7724609375,0.0,0.0
15,0.7645370826769852,0.931640625,0.0,0.0
16,0.2959388834195552,0.060546875,0.0,0.0
17,0.6743732841336516,0.802734375,0.0,0.0
18,0.3736293087542507,0.607421875,0.0,0.0
19,0.14568610351026245,0.43359375,0.0,0.0
20,0.47699153046972886,0.4775390625,0.0,0.0
21,0.8175171754702106,0.720703125,0.0,0.0
22,0.5190136696261293,0.427734375,0.0,0.0
23,0.5709665341215099,0.9453125,0.0,0.0
24,0.47848422058418116,0.115234375,0.0,0.0
25,0.8575530845564785,0.86767578125,0.0,0.0
26,0.3187615102628981,0.04296875,0.0,0.0
27,0.7296326517714047,0.701171875,0.0,0.0
28,0.07294852584281242,0.796875,0.0,0.0
29,0.9869214750130895,0.375,0.0,0.0
30,0.005894480278496039,0.22265625,0.0,0.0
31,0.26906379385131796,0.52734375,0.0,0.0
32,0.30294487930031244,0.1865234375,0.0,0.0
33,0.5141573116551711,0.6328125,0.0,0.0
34,0.8094304837099264,0.7958984375,0.0,0.0
35,0.9772941154363481,0.59375,0.0,0.0
36,0.00224521071334971,0.02978515625,0.0,0.0
37,0.41227292367896906,0.541015625,0.0,0.0
38,0.22368342895408888,0.591796875,0.0,0.0
39,0.20088550466469546,0.1279296875,0.0,0.0
40,0.42788932391761714,0.62109375,0.0,0.0
41,0.709198792265536,0.537109375,0.0,0.0
42,0.28009804083518963,0.4453125,0.0,0.0
43,0.11551548088819252,0.05859375,0.0,0.0
44,0.8289102530838421,0.955078125,0.0,0.0
45,0.49698125883567545,0.693359375,0.0,0.0
46,0.720541140171012,0.7236328125,0.0,0.0
47,0.7124119751789479,0.51171875,0.0,0.0
48,0.2862895652833556,0.232421875,0.0,0.0
49,0.7289895854974529,0.462890625,0.0,0.0
50,0.27660296664125283,0.302734375,0.0,0.0
51,0.4971754458858193,0.8046875,0.0,0.0
52,0.14308743282014358,0.501953125,0.0,0.0
53,0.996463312331193,0.98193359375,0.0,0.0
54,0.45264084553780226,0.91015625,0.0,0.0
55,0.6970222940309474,0.6220703125,0.0,0.0
56,0.14492040428312414,0.470703125,0.0,0.0
57,0.6238931732992115,0.287109375,0.0,0.0
58,0.38829054112065486,0.654296875,0.0,0.0
59,0.5496822175321872,0.1953125,0.0,0.0
60,0.25996040435922785,0.365234375,0.0,0.0
61,0.7392844735703888,0.75390625,0.0,0.0
62,0.4822407970009769,0.47265625,0.0,0.0
63,0.34709452544026775,0.234375,0.0,0.0
64,0.10236955027670913,0.41796875,0.0,0.0
65,0.2550968806758884,0.5078125,0.0,0.0
66,0.9777159778028555,0.9752197265625,0.0,0.0
67,0.01597636549539716,0.007080078125,0.0,0.0
68,0.21581820827021003,0.1591796875,0.0,0.0
69,0.006451975186866465,0.04833984375,0.0,0.0
70,0.5223844845940551,0.625,0.0,0.0
71,0.20577495230070697,0.51171875,0.0,0.0
72,0.027780301879941627,0.05859375,0.0,0.0
73,0.13199698526783477,0.09130859375,0.0,0.0
74,0.9644348626524846,0.77734375,0.0,0.0
75,0.2642059538454381,0.4423828125,0.0,0.0
76,0.19191415513268884,0.1669921875,0.0,0.0
77,0.6701419238610441,0.55078125,0.0,0.0
78,0.2707554703475157,0.5546875,0.0,0.0
79,0.7828238416081131,0.81640625,0.0,0.0
80,0.11532479282355057,0.2421875,0.0,0.0
81,0.4950749911503135,0.224609375,0.0,0.0
82,0.6134767550281844,0.583984375,0.0,0.0
83,0.26584280044613506,0.298828125,0.0,0.0
84,0.783503770884771,0.8134765625,0.0,0.0
85,0.290071159295173,0.39453125,0.0,0.0
86,0.5999222067484877,0.34765625,0.0,0.0
87,0.8676417203644337,0.8984375,0.0,0.0
88,0.694752856027261,0.79296875,0.0,0.0
89,0.6028207372648688,0.5595703125,0.0,0.0
90,0.2998816235702264,0.19921875,0.0,0.0
91,0.29377745440973,0.5234375,0.0,0.0
92,0.29261269715458393,0.3203125,0.0,0.0
93,0.7425480641554536,0.6337890625,0.0,0.0
